Number,Count
1,43
2,39
3,44
4,42
5,42
6,43
7,42
8,41
9,40
10,39
11,40
12,41
13,42
14,41
15,41
16,41
17,40
18,40
19,39
20,39
21,40
22,40
23,40
24,40
25,40
26,40
27,40
28,43
29,41
30,41
31,40
32,39
33,41
34,41
35,40
36,40
37,40
38,40
39,39
40,39
41,38
42,38
43,38
44,38
45,37
46,38
47,36
48,36
49,38
50,37
51,38
52,39
53,39
54,37
55,38
56,38
57,38
58,36
59,35
60,35
61,36
62,36
63,37
64,37
65,38
66,38
67,39
68,38
69,39
70,36
71,36
72,36
73,37
74,37
75,37
76,38
77,37
78,36
79,36
80,36
81,36
82,36
83,36
84,37
85,36
86,36
87,36
88,36
89,36
90,36
91,37
92,37
93,37
94,37
95,37
96,36
97,39
98,39
99,39
100,39
101,37
102,37
103,37
104,36
105,36
106,36
107,37
108,37
109,37
110,37
111,37
112,37
113,38
114,38
115,38
116,38
117,38
118,39
119,38
120,39
121,40
122,40
123,41
124,42
125,42
126,40
127,39
128,39
129,36
130,37
131,38
132,37
133,39
134,38
135,37
136,38
137,39
138,39
139,39
140,39
141,39
142,38
143,39
144,39
145,38
146,38
147,38
148,38
149,38
150,38
151,40
152,39
153,38
154,39
155,40
156,39
157,40
158,41
159,42
160,41
161,40
162,40
163,39
164,39
165,39
166,39
167,38
168,38
169,38
170,39
171,40
172,41
173,41
174,42
175,41
176,40
177,41
178,41
179,40
180,40
181,40
182,40
183,41
184,40
185,40
186,41
187,41
188,41
189,40
190,40
191,40
192,40
193,41
194,40
195,41
196,40
197,40
198,40
199,39
200,40
201,41
202,38
203,40
204,40
205,43
206,42
207,43
208,42
209,43
210,43
211,40
212,41
213,40
214,39
215,39
216,39
217,41
218,42
219,42
220,42
221,43
222,41
223,42
224,42
225,41
226,42
227,41
228,41
229,42
230,40
231,40
232,39
233,39
234,39
235,40
236,40
237,39
238,37
239,38
240,38
241,40
242,41
243,41
244,42
245,43
246,44
247,44
248,42
249,42
250,41
251,42
252,42
253,44
254,44
255,45
256,44
257,45
258,44
259,44
260,43
261,42
262,42
263,42
264,42
265,43
266,43
267,44
268,45
269,46
270,44
271,42
272,43
273,41
274,41
275,40
276,40
277,42
278,44
279,43
280,44
281,45
282,45
283,44
284,43
285,42
286,43
287,43
288,43
289,44
290,42
291,42
292,42
293,41
294,41
295,40
296,41
297,41
298,42
299,42
300,42
301,42
302,43
303,45
304,45
305,45
306,43
307,42
308,41
309,41
310,42
311,43
312,43
313,45
314,46
315,46
316,46
317,45
318,45
319,44
320,44
321,44
322,44
323,44
324,45
325,46
326,48
327,46
328,46
329,46
330,45
331,46
332,46
333,47
334,47
335,46
336,46
337,50
338,49
339,48
340,46
341,46
342,46
343,46
344,46
345,46
346,46
347,46
348,47
349,47
350,48
351,48
352,47
353,46
354,48
355,49
356,48
357,48
358,47
359,47
360,47
361,47
362,48
363,48
364,47
365,47
366,47
367,47
368,48
369,48
370,48
371,48
372,48
373,47
374,49
375,49
376,47
377,46
378,46
379,46
380,46
381,48
382,47
383,47
384,47
385,47
386,48
387,46
388,46
389,47
390,47
391,47
392,49
393,49
394,49
395,47
396,46
397,45
398,46
399,45
400,46
401,44
402,45
403,45
404,44
405,46
406,45
407,47
408,45
409,46
410,47
411,46
412,46
413,46
414,46
415,45
416,46
417,47
418,47
419,45
420,44
421,47
422,50
423,48
424,47
425,47
426,48
427,48
428,48
429,47
430,45
431,46
432,46
433,47
434,49
435,46
436,48
437,48
438,49
439,49
440,50
441,50
442,51
443,51
444,50
445,51
446,51
447,49
448,49
449,49
450,49
451,48
452,48
453,47
454,48
455,48
456,46
457,49
458,48
459,48
460,46
461,48
462,47
463,48
464,45
465,45
466,46
467,45
468,45
469,45
470,44
471,45
472,43
473,43
474,43
475,42
476,42
477,42
478,43
479,42
480,42
481,42
482,45
483,44
484,44
485,44
486,44
487,46
488,46
489,45
490,44
491,44
492,43
493,45
494,46
495,46
496,46
497,45
498,46
499,46
500,45
501,43
502,43
503,43
504,42
505,44
506,43
507,43
508,42
509,41
510,41
511,40
512,41
513,41
514,41
515,39
516,39
517,39
518,38
519,38
520,40
521,39
522,40
523,40
524,41
525,40
526,40
527,39
528,40
529,44
530,43
531,42
532,42
533,42
534,43
535,44
